Date [Sys,Time [Sys,Applicatio,User,Client ID,Keep,Runtime I,Exception,Canceled,Index of W,Transacti
2026-01-02,02:14:32,prdapp01_PRD_00,SAPSYS,100,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,17,RFC
2026-01-02,02:15:35,prdapp03_PRD_00,FI_USER,100,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,10,RFC
2026-01-02,02:15:38,prdapp03_PRD_00,ADMIN,300,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,1,RFC
2026-01-02,02:15:39,prdapp02_PRD_00,ALEREMOTE,200,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,14,RFC
2026-01-02,02:15:53,prdapp01_PRD_00,DDIC,100,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,2,RFC
2026-01-02,02:17:36,prdapp02_PRD_00,SAPSYS,200,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,13,RFC
2026-01-02,02:18:08,prdapp01_PRD_00,FI_USER,200,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,4,RFC
2026-01-02,02:18:31,prdapp03_PRD_00,BATCHUSR,300,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,1,RFC
2026-01-02,02:19:51,prdapp01_PRD_00,FI_USER,100,No,CALL_FUNCTION_REMOTE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,11,RFC
2026-01-02,02:20:36,prdapp02_PRD_00,SAPSYS,300,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,12,RFC
2026-01-02,02:20:45,prdapp01_PRD_00,ADMIN,300,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,10,RFC
2026-01-02,02:21:00,prdapp02_PRD_00,BATCHUSR,300,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,13,RFC
2026-01-02,02:22:51,prdapp01_PRD_00,SAPSYS,100,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,2,RFC
2026-01-02,02:22:53,prdapp02_PRD_00,ALEREMOTE,100,No,CALL_FUNCTION_REMOTE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,1,RFC
2026-01-02,02:23:13,prdapp02_PRD_00,SAPSYS,100,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,14,RFC
2026-01-02,02:23:32,prdapp03_PRD_00,ALEREMOTE,100,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,9,RFC
2026-01-02,02:23:33,prdapp02_PRD_00,MM_USER,200,No,CALL_FUNCTION_REMOTE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,18,RFC
2026-01-02,02:24:37,prdapp03_PRD_00,ALEREMOTE,100,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,7,RFC
2026-01-02,02:26:30,prdapp02_PRD_00,FI_USER,200,No,CALL_FUNCTION_REMOTE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,12,RFC
2026-01-02,02:26:32,prdapp03_PRD_00,ADMIN,100,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,13,RFC
2026-01-02,02:27:51,prdapp03_PRD_00,MM_USER,100,No,CALL_FUNCTION_REMOTE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,16,RFC
2026-01-02,02:27:56,prdapp03_PRD_00,MM_USER,300,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,12,RFC
2026-01-02,02:28:08,prdapp03_PRD_00,ADMIN,100,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,19,RFC
2026-01-02,02:28:18,prdapp01_PRD_00,BATCHUSR,100,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,3,RFC
2026-01-02,02:28:26,prdapp01_PRD_00,FI_USER,100,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,2,RFC
2026-01-02,02:28:59,prdapp03_PRD_00,BATCHUSR,300,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,3,RFC
2026-01-02,02:29:12,prdapp03_PRD_00,MM_USER,100,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,9,RFC
2026-01-02,02:29:24,prdapp01_PRD_00,RFC_USER,300,No,CALL_FUNCTION_REMOTE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,19,RFC
2026-01-02,02:29:25,prdapp01_PRD_00,ADMIN,300,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,6,RFC
2026-01-02,02:30:32,prdapp01_PRD_00,ALEREMOTE,300,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,12,RFC
2026-01-02,02:31:03,prdapp01_PRD_00,ADMIN,100,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,9,RFC
2026-01-02,02:31:32,prdapp01_PRD_00,BATCHUSR,100,No,CALL_FUNCTION_REMOTE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,16,RFC
2026-01-02,02:32:08,prdapp03_PRD_00,ADMIN,300,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,16,RFC
2026-01-02,02:33:15,prdapp03_PRD_00,SAPSYS,300,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,10,RFC
2026-01-02,02:33:46,prdapp01_PRD_00,ALEREMOTE,200,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,9,RFC
2026-01-02,02:34:22,prdapp03_PRD_00,MM_USER,200,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,7,RFC
2026-01-02,02:34:33,prdapp03_PRD_00,RFC_USER,200,No,CALL_FUNCTION_REMOTE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,2,RFC
2026-01-02,02:36:23,prdapp01_PRD_00,DDIC,200,No,CALL_FUNCTION_REMOTE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,0,RFC
2026-01-02,02:36:49,prdapp01_PRD_00,ADMIN,200,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,16,RFC
2026-01-02,02:37:07,prdapp01_PRD_00,ALEREMOTE,200,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,4,RFC
2026-01-02,02:37:34,prdapp03_PRD_00,BATCHUSR,300,No,CALL_FUNCTION_REMOTE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,13,RFC
2026-01-02,02:37:41,prdapp02_PRD_00,ADMIN,200,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,3,RFC
2026-01-02,02:37:49,prdapp01_PRD_00,ALEREMOTE,300,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,14,RFC
2026-01-02,02:38:43,prdapp02_PRD_00,ALEREMOTE,200,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,12,RFC
2026-01-02,02:39:03,prdapp02_PRD_00,BATCHUSR,200,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,9,RFC
2026-01-02,02:40:13,prdapp01_PRD_00,DDIC,300,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,6,RFC
2026-01-02,02:41:04,prdapp03_PRD_00,SAPSYS,100,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,8,RFC
2026-01-02,02:41:30,prdapp03_PRD_00,BATCHUSR,100,No,CALL_FUNCTION_REMOTE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,15,RFC
2026-01-02,02:41:32,prdapp03_PRD_00,MM_USER,300,No,CALL_FUNCTION_REMOTE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,20,RFC
2026-01-02,02:42:45,prdapp03_PRD_00,SAPSYS,300,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,20,RFC
2026-01-02,02:42:50,prdapp02_PRD_00,DDIC,200,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,0,RFC
2026-01-02,02:44:12,prdapp01_PRD_00,SAPSYS,200,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,9,RFC
2026-01-02,02:44:27,prdapp02_PRD_00,MM_USER,100,Yes,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,8,RFC
2026-01-02,02:44:40,prdapp03_PRD_00,MM_USER,100,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,0,RFC
2026-01-02,02:45:18,prdapp03_PRD_00,FI_USER,100,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,20,RFC
2026-01-02,02:45:23,prdapp01_PRD_00,ADMIN,100,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,0,RFC
2026-01-02,02:45:44,prdapp01_PRD_00,MM_USER,300,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,2,RFC
2026-01-02,02:45:55,prdapp03_PRD_00,ADMIN,200,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,0,RFC
2026-01-02,02:47:04,prdapp01_PRD_00,SAPSYS,100,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,15,RFC
2026-01-02,02:49:32,prdapp01_PRD_00,ALEREMOTE,100,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,17,RFC
2026-01-02,02:49:44,prdapp02_PRD_00,ADMIN,300,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,10,RFC
2026-01-02,02:50:04,prdapp02_PRD_00,RFC_USER,200,Yes,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,11,RFC
2026-01-02,02:50:16,prdapp01_PRD_00,MM_USER,100,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,11,RFC
2026-01-02,02:50:27,prdapp03_PRD_00,ALEREMOTE,300,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,14,RFC
2026-01-02,02:51:12,prdapp03_PRD_00,BATCHUSR,200,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,13,RFC
2026-01-02,02:51:35,prdapp03_PRD_00,ALEREMOTE,200,No,CALL_FUNCTION_REMOTE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,18,RFC
2026-01-02,02:52:29,prdapp02_PRD_00,ALEREMOTE,300,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,4,RFC
2026-01-02,02:53:41,prdapp02_PRD_00,RFC_USER,100,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,12,RFC
2026-01-02,02:54:12,prdapp02_PRD_00,ADMIN,100,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,0,RFC
2026-01-02,02:55:05,prdapp01_PRD_00,RFC_USER,200,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,15,RFC
2026-01-02,02:55:21,prdapp03_PRD_00,ADMIN,300,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,0,RFC
2026-01-02,02:55:50,prdapp01_PRD_00,BATCHUSR,100,No,CALL_FUNCTION_REMOTE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,3,RFC
2026-01-02,02:55:53,prdapp01_PRD_00,BATCHUSR,300,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,19,RFC
2026-01-02,02:56:18,prdapp01_PRD_00,FI_USER,300,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,19,RFC
2026-01-02,02:56:59,prdapp01_PRD_00,ALEREMOTE,300,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,12,RFC
2026-01-02,02:57:30,prdapp01_PRD_00,BATCHUSR,200,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,20,RFC
2026-01-02,02:58:47,prdapp01_PRD_00,SAPSYS,300,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,16,RFC
2026-01-02,02:59:17,prdapp01_PRD_00,ADMIN,200,No,CALL_FUNCTION_REMOTE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,17,RFC
2026-01-02,02:59:34,prdapp02_PRD_00,MM_USER,300,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,13,RFC
2026-01-02,02:59:37,prdapp02_PRD_00,ALEREMOTE,200,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,1,RFC
2026-01-02,02:59:56,prdapp01_PRD_00,BATCHUSR,300,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,18,RFC
2026-01-02,05:31:24,prdapp03_PRD_00,RFC_USER,300,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,18,RFC
2026-01-02,07:02:00,prdapp02_PRD_00,SAPSYS,200,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,0,RFC
2026-01-02,07:18:13,prdapp03_PRD_00,ALEREMOTE,300,No,STORAGE_PARAMETERS_WRONG_SET,None,SAPMSSY0,12,SE38
2026-01-02,19:14:27,prdapp02_PRD_00,BATCHUSR,100,Yes,DBIF_RSQL_SQL_ERROR,CX_SY_OPEN_SQL_DB,SAPLDBDI,4,SM37
2026-01-03,01:15:25,prdapp03_PRD_00,RFC_USER,300,No,DBSQL_DUPLICATE_KEY_ERROR,CX_SY_DBSQL_DUPLICATE_KEY,SAPLDBDI,2,SM30
2026-01-03,02:54:33,prdapp01_PRD_00,ADMIN,200,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,1,RFC
2026-01-03,07:41:08,prdapp03_PRD_00,DDIC,100,No,DBIF_RSQL_INVALID_RSQL,CX_SY_OPEN_SQL_DB,SAPLDBDI,1,SE38
2026-01-03,08:42:07,prdapp01_PRD_00,RFC_USER,300,No,SYSTEM_NO_ROLL,None,SAPMSSY0,19,SE38
2026-01-03,08:59:45,prdapp02_PRD_00,MM_USER,100,No,SYSTEM_MSG_SERVER_LOST,None,SAPMSSY0,19,SM50
2026-01-03,13:49:17,prdapp02_PRD_00,ALEREMOTE,100,No,SYSTEM_BUFFER_FAILURE,None,SAPMSSY0,16,SE38
2026-01-03,16:35:46,prdapp03_PRD_00,RFC_USER,200,No,DBIF_RSQL_INVALID_RSQL,CX_SY_OPEN_SQL_DB,SAPLDBDI,5,SE38
2026-01-03,17:38:00,prdapp01_PRD_00,ALEREMOTE,200,No,SYSTEM_MSG_SERVER_LOST,None,SAPMSSY0,17,SM50
2026-01-03,22:10:18,prdapp01_PRD_00,BATCHUSR,300,No,RESIZE_EM_ALLOC_ERROR,None,SAPMSSY0,14,SE38
2026-01-03,23:54:17,prdapp02_PRD_00,BATCHUSR,100,No,SYSTEM_BUFFER_FAILURE,None,SAPMSSY0,1,SE38
2026-01-04,01:28:12,prdapp01_PRD_00,SAPSYS,300,No,SYSTEM_ENQUE_FAILURE,None,SAPLSENQ,20,SM12
2026-01-04,03:37:11,prdapp03_PRD_00,RFC_USER,300,No,ENQUE_TABLE_FULL,None,SAPLSENQ,6,SM12
2026-01-04,09:10:48,prdapp01_PRD_00,RFC_USER,100,No,RESIZE_EM_ALLOC_ERROR,None,SAPMSSY0,7,SE38
2026-01-04,14:01:32,prdapp01_PRD_00,ALEREMOTE,300,No,DBSQL_DUPLICATE_KEY_ERROR,CX_SY_DBSQL_DUPLICATE_KEY,SAPLDBDI,18,SM30
2026-01-04,16:01:19,prdapp02_PRD_00,BATCHUSR,100,No,LOAD_PROGRAM_LOST,None,SAPMSSY0,20,SE38
2026-01-04,16:33:02,prdapp03_PRD_00,BATCHUSR,300,No,SYSTEM_CORE_DUMPED,None,SAPMSSY1,8,SM50
2026-01-04,19:35:05,prdapp02_PRD_00,FI_USER,200,No,LOCK_TABLE_OVERFLOW,None,SAPLSENQ,7,SM12
2026-01-04,21:59:54,prdapp03_PRD_00,SAPSYS,100,No,PXA_NO_SHARED_MEMORY,None,SAPMSSY0,20,SE38
2026-01-05,04:05:33,prdapp03_PRD_00,ALEREMOTE,100,No,TSV_TNEW_PAGE_ALLOC_FAILED,CX_SY_RESOURCES,SAPLKKBL,6,SM37
2026-01-05,04:25:24,prdapp02_PRD_00,BATCHUSR,200,No,DBIF_RSQL_SQL_ERROR,CX_SY_OPEN_SQL_DB,SAPLDBDI,3,SM37
2026-01-05,09:34:13,prdapp01_PRD_00,SAPSYS,300,No,MESSAGE_TYPE_X,None,SAPLBTCH,0,VA01
2026-01-05,13:05:56,prdapp02_PRD_00,SAPSYS,100,No,ENQUE_TABLE_FULL,None,SAPLSENQ,8,SM12
2026-01-05,15:43:32,prdapp03_PRD_00,SAPSYS,200,No,TIME_OUT,CX_SY_TIME_OUT,RSPFPAR,17,SE38
2026-01-05,20:08:01,prdapp01_PRD_00,DDIC,200,No,SYSTEM_ENQUE_FAILURE,None,SAPLSENQ,11,SM12
2026-01-05,20:50:27,prdapp03_PRD_00,DDIC,100,No,PXA_NO_SHARED_MEMORY,None,SAPMSSY0,13,SE38
2026-01-05,21:22:06,prdapp01_PRD_00,RFC_USER,100,No,SNC_ERROR,None,SAPMSSY1,19,RFC
2026-01-05,22:25:30,prdapp01_PRD_00,BATCHUSR,300,No,TSV_TNEW_PAGE_ALLOC_FAILED,CX_SY_RESOURCES,SAPLKKBL,3,SM37
2026-01-05,23:30:08,prdapp02_PRD_00,ADMIN,300,No,DBSQL_SQL_ERROR,CX_SY_OPEN_SQL_DB,SAPLDBDI,7,SE38
2026-01-05,23:44:39,prdapp03_PRD_00,DDIC,100,No,DBIF_RSQL_INVALID_RSQL,CX_SY_OPEN_SQL_DB,SAPLDBDI,7,SE38
2026-01-06,01:19:09,prdapp03_PRD_00,ADMIN,200,No,SYSTEM_BUFFER_FAILURE,None,SAPMSSY0,3,SE38
2026-01-06,04:16:09,prdapp02_PRD_00,DDIC,300,No,STORAGE_PARAMETERS_WRONG_SET,None,SAPMSSY0,2,SE38
2026-01-06,04:33:23,prdapp02_PRD_00,SAPSYS,300,No,LOAD_PROGRAM_LOST,None,SAPMSSY0,17,SE38
2026-01-06,10:26:15,prdapp01_PRD_00,BATCHUSR,200,No,DBIF_RSQL_INVALID_RSQL,CX_SY_OPEN_SQL_DB,SAPLDBDI,16,SE38
2026-01-06,11:54:22,prdapp01_PRD_00,ALEREMOTE,300,No,CX_SY_OPEN_SQL_DB,CX_SY_OPEN_SQL_DB,SAPLDBDI,3,SE38
2026-01-06,16:30:18,prdapp01_PRD_00,FI_USER,300,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,18,RFC
2026-01-06,16:30:42,prdapp01_PRD_00,ADMIN,100,No,SYSTEM_NO_MORE_PAGING,None,SAPMSSY0,15,SE38
2026-01-06,16:54:18,prdapp02_PRD_00,RFC_USER,200,No,ENQUE_TABLE_FULL,None,SAPLSENQ,19,SM12
2026-01-06,20:49:39,prdapp02_PRD_00,ADMIN,200,No,SYSTEM_MSG_SERVER_LOST,None,SAPMSSY0,3,SM50
2026-01-06,21:57:53,prdapp01_PRD_00,BATCHUSR,100,No,ENQUE_TABLE_FULL,None,SAPLSENQ,13,SM12
2026-01-06,22:00:27,prdapp03_PRD_00,MM_USER,200,No,GEN_ERROR,None,SAPMSTYW,19,SE38
2026-01-06,22:33:42,prdapp02_PRD_00,SAPSYS,300,No,RFC_NO_AUTHORITY,CX_SY_NO_AUTHORITY,SAPMSSY1,8,RFC
2026-01-06,23:19:49,prdapp02_PRD_00,ALEREMOTE,100,No,DBIF_RSQL_INVALID_RSQL,CX_SY_OPEN_SQL_DB,SAPLDBDI,3,SE38
2026-01-07,01:47:08,prdapp03_PRD_00,BATCHUSR,300,Yes,CALL_FUNCTION_SINGLE_LOGIN_REJ,CX_SY_RFC_ERROR,SAPMSSY1,9,RFC
2026-01-07,04:02:32,prdapp01_PRD_00,DDIC,300,No,DBSQL_SQL_ERROR,CX_SY_OPEN_SQL_DB,SAPLDBDI,20,SE38
2026-01-07,06:06:34,prdapp03_PRD_00,ALEREMOTE,100,No,DBSQL_SQL_ERROR,CX_SY_OPEN_SQL_DB,SAPLDBDI,3,SE38
2026-01-07,06:07:09,prdapp01_PRD_00,DDIC,200,No,DBSQL_SQL_ERROR,CX_SY_OPEN_SQL_DB,SAPLDBDI,1,SE38
2026-01-07,06:15:59,prdapp01_PRD_00,DDIC,100,No,DBSQL_NO_MORE_CONNECTION,CX_SY_OPEN_SQL_DB,SAPLDBDI,1,SM50
