Item,Date,Hour,Server,Category,Percentage_Used[%],Freespace[MB]
/db2/log,2026-01-01,6,prdapp03,Database Log,43.31,148609.43
/db2/data,2026-01-01,6,prdapp03,Database Data,37.11,659449.45
/sapmnt,2026-01-01,6,prdapp02,Application Server,44.49,145516.13
/db2/data,2026-01-01,6,prdapp01,Database Data,39.41,635332.2
/usr/sap/trans,2026-01-01,6,prdapp02,Application Server,40.07,314205.8
/db2/log,2026-01-01,6,prdapp02,Database Log,56.97,112800.56
/usr/sap/trans,2026-01-01,6,prdapp01,Application Server,66.36,176370.48
/db2/log,2026-01-01,7,prdapp02,Database Log,74.95,65667.07
/sapmnt,2026-01-01,7,prdapp01,Application Server,41.71,152803.74
/usr/sap/trans,2026-01-01,7,prdapp02,Application Server,48.57,269641.32
/db2/data,2026-01-01,7,prdapp01,Database Data,67.91,336488.04
/sapmnt,2026-01-01,7,prdapp01,Application Server,35.05,170262.53
/usr/sap/trans,2026-01-01,7,prdapp02,Application Server,63.94,189058.25
/usr/sap/trans,2026-01-01,7,prdapp02,Application Server,53.77,242378.34
/db2/log,2026-01-01,8,prdapp01,Database Log,31.55,179437.57
/usr/sap/trans,2026-01-01,8,prdapp02,Application Server,53.69,242797.77
/usr/sap/trans,2026-01-01,8,prdapp02,Application Server,68.85,163315.71
/db2/data,2026-01-01,8,prdapp01,Database Data,44.54,581540.25
/usr/sap/trans,2026-01-01,8,prdapp01,Application Server,64.04,188533.96
/db2/log,2026-01-01,8,prdapp01,Database Log,72.75,71434.24
/usr/sap/trans,2026-01-01,8,prdapp01,Application Server,69.46,160117.56
/sapmnt,2026-01-01,9,prdapp02,Application Server,33.62,174011.19
/usr/sap/trans,2026-01-01,9,prdapp01,Application Server,30.47,364537.45
/db2/log,2026-01-01,9,prdapp02,Database Log,63.46,95787.42
/usr/sap/trans,2026-01-01,9,prdapp02,Application Server,31.74,357878.99
/usr/sap/trans,2026-01-01,9,prdapp01,Application Server,41.2,308281.34
/db2/log,2026-01-01,9,prdapp01,Database Log,74.83,65981.64
/sapmnt,2026-01-01,9,prdapp01,Application Server,68.12,83571.51
/db2/data,2026-01-01,10,prdapp03,Database Data,45.68,569586.48
/usr/sap/trans,2026-01-01,10,prdapp01,Application Server,64.16,187904.82
/db2/log,2026-01-01,10,prdapp03,Database Log,55.33,117099.72
/usr/sap/trans,2026-01-01,10,prdapp02,Application Server,53.39,244370.64
/usr/sap/trans,2026-01-01,10,prdapp02,Application Server,55.89,231263.44
/db2/data,2026-01-01,10,prdapp01,Database Data,43.57,591711.44
/sapmnt,2026-01-01,11,prdapp02,Application Server,32.3,177471.49
/usr/sap/trans,2026-01-01,11,prdapp02,Application Server,31.18,360815.0
/db2/data,2026-01-01,11,prdapp03,Database Data,35.15,680001.54
/usr/sap/trans,2026-01-01,11,prdapp01,Application Server,35.99,335596.75
/db2/log,2026-01-01,11,prdapp03,Database Log,34.0,173015.04
/sapmnt,2026-01-01,11,prdapp03,Application Server,68.18,83414.22
/db2/data,2026-01-01,11,prdapp02,Database Data,56.1,460324.86
/db2/log,2026-01-01,12,prdapp03,Database Log,71.47,74789.68
/usr/sap/trans,2026-01-01,12,prdapp01,Application Server,61.9,199753.73
/db2/data,2026-01-01,12,prdapp01,Database Data,60.73,411775.8
/sapmnt,2026-01-01,12,prdapp02,Application Server,42.83,149867.72
/usr/sap/trans,2026-01-01,12,prdapp03,Application Server,43.59,295750.86
/db2/log,2026-01-01,12,prdapp02,Database Log,71.76,74029.47
/usr/sap/trans,2026-01-01,12,prdapp01,Application Server,69.96,157496.12
/db2/data,2026-01-01,13,prdapp02,Database Data,57.95,440926.21
/sapmnt,2026-01-01,13,prdapp03,Application Server,46.08,141348.04
/sapmnt,2026-01-01,13,prdapp03,Application Server,56.67,113587.0
/sapmnt,2026-01-01,13,prdapp02,Application Server,53.53,121818.32
/usr/sap/trans,2026-01-01,13,prdapp01,Application Server,35.98,335649.18
/sapmnt,2026-01-01,13,prdapp02,Application Server,50.31,130259.35
/sapmnt,2026-01-01,13,prdapp02,Application Server,65.19,91252.33
/db2/data,2026-01-01,14,prdapp02,Database Data,57.04,450468.25
/db2/data,2026-01-01,14,prdapp01,Database Data,33.32,699190.48
/db2/data,2026-01-01,14,prdapp01,Database Data,50.63,517681.97
/sapmnt,2026-01-01,14,prdapp01,Application Server,38.33,161664.2
/sapmnt,2026-01-01,14,prdapp01,Application Server,69.62,79639.35
/usr/sap/trans,2026-01-01,14,prdapp03,Application Server,57.47,222979.69
/db2/data,2026-01-01,14,prdapp01,Database Data,62.3,395313.15
/sapmnt,2026-01-01,15,prdapp03,Application Server,49.19,133195.37
/db2/log,2026-01-01,15,prdapp03,Database Log,54.27,119878.45
/sapmnt,2026-01-01,15,prdapp03,Application Server,65.34,90859.11
/sapmnt,2026-01-01,15,prdapp01,Application Server,70.99,76047.97
/usr/sap/trans,2026-01-01,15,prdapp02,Application Server,59.14,214224.08
/sapmnt,2026-01-01,15,prdapp03,Application Server,31.69,179070.57
/db2/data,2026-01-01,15,prdapp03,Database Data,59.95,419954.69
/sapmnt,2026-01-01,16,prdapp02,Application Server,52.36,124885.4
/db2/log,2026-01-01,16,prdapp01,Database Log,73.9,68419.58
/sapmnt,2026-01-01,16,prdapp02,Application Server,37.65,163446.78
/sapmnt,2026-01-01,16,prdapp01,Application Server,74.88,65850.57
/sapmnt,2026-01-01,16,prdapp03,Application Server,72.98,70831.31
/db2/data,2026-01-01,16,prdapp03,Database Data,34.81,683566.69
/sapmnt,2026-01-01,16,prdapp03,Application Server,45.9,141819.9
/sapmnt,2026-01-01,17,prdapp01,Application Server,45.22,143602.48
/db2/log,2026-01-01,17,prdapp02,Database Log,65.74,89810.53
/usr/sap/trans,2026-01-01,17,prdapp01,Application Server,54.62,237921.89
/db2/data,2026-01-01,17,prdapp01,Database Data,72.8,285212.67
/db2/data,2026-01-01,17,prdapp02,Database Data,65.29,363960.73
/usr/sap/trans,2026-01-01,17,prdapp02,Application Server,55.95,230948.86
/db2/data,2026-01-01,17,prdapp02,Database Data,37.68,653472.56
/usr/sap/trans,2026-01-01,18,prdapp02,Application Server,49.42,265184.87
/sapmnt,2026-01-01,18,prdapp01,Application Server,30.69,181692.01
/db2/log,2026-01-01,18,prdapp03,Database Log,60.69,103048.81
/usr/sap/trans,2026-01-01,18,prdapp02,Application Server,30.9,362283.01
/usr/sap/trans,2026-01-01,18,prdapp02,Application Server,74.61,133116.72
/sapmnt,2026-01-01,18,prdapp02,Application Server,33.76,173644.19
/db2/data,2026-01-01,18,prdapp01,Database Data,73.51,277767.78
/usr/sap/trans,2026-01-01,19,prdapp02,Application Server,44.68,290036.12
/db2/log,2026-01-01,19,prdapp01,Database Log,52.67,124072.76
/db2/data,2026-01-01,19,prdapp03,Database Data,42.61,601777.77
/db2/log,2026-01-01,19,prdapp03,Database Log,56.58,113822.92
/db2/data,2026-01-01,19,prdapp01,Database Data,52.29,500275.61
/sapmnt,2026-01-01,19,prdapp01,Application Server,37.49,163866.21
/db2/data,2026-01-01,19,prdapp02,Database Data,57.37,447007.95
/sapmnt,2026-01-01,20,prdapp03,Application Server,51.65,126746.62
/db2/log,2026-01-01,20,prdapp01,Database Log,42.1,151781.38
/usr/sap/trans,2026-01-01,20,prdapp01,Application Server,52.23,250452.38
/sapmnt,2026-01-01,20,prdapp03,Application Server,50.92,128660.28
/db2/log,2026-01-01,20,prdapp03,Database Log,50.41,129997.21
/usr/sap/trans,2026-01-01,20,prdapp02,Application Server,34.56,343094.07
/db2/log,2026-01-01,20,prdapp03,Database Log,50.1,130809.86
/db2/data,2026-01-01,21,prdapp02,Database Data,42.23,605762.36
/db2/data,2026-01-01,21,prdapp03,Database Data,32.27,710200.52
/db2/log,2026-01-01,21,prdapp02,Database Log,45.35,143261.7
/sapmnt,2026-01-01,21,prdapp01,Application Server,51.93,126012.62
/db2/log,2026-01-01,21,prdapp03,Database Log,67.13,86166.73
/db2/data,2026-01-01,21,prdapp01,Database Data,32.71,705586.79
/db2/log,2026-01-01,22,prdapp02,Database Log,32.13,177917.13
/db2/data,2026-01-01,22,prdapp03,Database Data,74.94,262773.15
/sapmnt,2026-01-01,22,prdapp02,Application Server,58.05,109969.41
/db2/data,2026-01-01,22,prdapp03,Database Data,38.01,650012.26
/db2/data,2026-01-01,22,prdapp03,Database Data,51.56,507930.21
/usr/sap/trans,2026-01-01,22,prdapp01,Application Server,51.12,256271.97
/sapmnt,2026-01-01,22,prdapp01,Application Server,60.47,103625.52
/db2/log,2026-01-01,23,prdapp02,Database Log,59.35,106561.54
/sapmnt,2026-01-01,23,prdapp01,Application Server,48.6,134742.02
/usr/sap/trans,2026-01-01,23,prdapp01,Application Server,62.89,194563.28
/db2/log,2026-01-01,23,prdapp02,Database Log,31.24,180250.21
/sapmnt,2026-01-01,23,prdapp02,Application Server,53.68,121425.1
/sapmnt,2026-01-01,23,prdapp01,Application Server,52.26,125147.55
/db2/log,2026-01-01,23,prdapp02,Database Log,55.85,115736.58
/db2/log,2026-01-02,0,prdapp02,Database Log,58.54,108684.9
/sapmnt,2026-01-02,0,prdapp03,Application Server,59.59,105932.39
/db2/log,2026-01-02,0,prdapp02,Database Log,72.42,72299.32
/db2/log,2026-01-02,0,prdapp02,Database Log,42.62,150418.23
/sapmnt,2026-01-02,0,prdapp03,Application Server,37.55,163708.93
/db2/log,2026-01-02,0,prdapp02,Database Log,37.22,164574.0
/db2/data,2026-01-02,0,prdapp03,Database Data,65.79,358717.85
/usr/sap/trans,2026-01-02,1,prdapp02,Application Server,46.5,280494.08
/usr/sap/trans,2026-01-02,1,prdapp01,Application Server,38.58,322017.69
/db2/data,2026-01-02,1,prdapp02,Database Data,63.53,382415.67
/usr/sap/trans,2026-01-02,1,prdapp02,Application Server,66.36,176370.48
/sapmnt,2026-01-02,1,prdapp03,Application Server,31.69,179070.57
/sapmnt,2026-01-02,1,prdapp02,Application Server,30.15,183107.58
/db2/log,2026-01-02,1,prdapp03,Database Log,57.83,110546.12
/usr/sap/trans,2026-01-02,2,prdapp02,Application Server,58.23,218995.1
/usr/sap/trans,2026-01-02,2,prdapp01,Application Server,60.96,204682.04
/db2/log,2026-01-02,2,prdapp02,Database Log,34.27,172307.25
/sapmnt,2026-01-02,2,prdapp03,Application Server,39.33,159042.76
/sapmnt,2026-01-02,2,prdapp01,Application Server,68.6,82313.22
/db2/log,2026-01-02,2,prdapp01,Database Log,58.59,108553.83
/db2/data,2026-01-02,2,prdapp02,Database Data,61.95,398983.17
/usr/sap/trans,2026-01-02,3,prdapp02,Application Server,73.02,141452.9
/db2/data,2026-01-02,3,prdapp02,Database Data,63.84,379165.08
/db2/data,2026-01-02,3,prdapp03,Database Data,35.97,671403.21
/db2/log,2026-01-02,3,prdapp02,Database Log,60.49,103573.09
/sapmnt,2026-01-02,3,prdapp01,Application Server,58.79,108029.54
/db2/log,2026-01-02,3,prdapp01,Database Log,73.15,70385.66
/usr/sap/trans,2026-01-02,3,prdapp03,Application Server,46.77,279078.5
/db2/data,2026-01-02,4,prdapp01,Database Data,64.63,370881.33
/usr/sap/trans,2026-01-02,4,prdapp01,Application Server,57.17,224552.55
/usr/sap/trans,2026-01-02,4,prdapp02,Application Server,52.03,251500.95
/db2/log,2026-01-02,4,prdapp01,Database Log,73.78,68734.16
/sapmnt,2026-01-02,4,prdapp01,Application Server,57.82,110572.34
/sapmnt,2026-01-02,4,prdapp03,Application Server,40.06,157129.11
/db2/log,2026-01-02,4,prdapp03,Database Log,63.52,95630.13
/sapmnt,2026-01-02,5,prdapp01,Application Server,56.93,112905.42
/db2/log,2026-01-02,5,prdapp03,Database Log,64.17,93926.2
/db2/data,2026-01-02,5,prdapp02,Database Data,30.67,726977.74
/usr/sap/trans,2026-01-02,5,prdapp01,Application Server,32.83,352164.25
/sapmnt,2026-01-02,5,prdapp02,Application Server,32.94,175793.77
/db2/data,2026-01-02,5,prdapp03,Database Data,49.01,534668.9
/db2/data,2026-01-02,5,prdapp02,Database Data,58.56,434529.89
/db2/log,2026-01-02,6,prdapp03,Database Log,46.36,140614.04
/sapmnt,2026-01-02,6,prdapp02,Application Server,55.74,116024.93
/usr/sap/trans,2026-01-02,6,prdapp02,Application Server,40.17,313681.51
/sapmnt,2026-01-02,6,prdapp03,Application Server,47.62,137311.03
/sapmnt,2026-01-02,6,prdapp01,Application Server,40.81,155163.03
/db2/log,2026-01-02,6,prdapp01,Database Log,68.24,83256.93
/usr/sap/trans,2026-01-02,6,prdapp02,Application Server,53.89,241749.2
/sapmnt,2026-01-02,7,prdapp02,Application Server,68.15,83492.86
/usr/sap/trans,2026-01-02,7,prdapp01,Application Server,42.51,301413.17
/db2/log,2026-01-02,7,prdapp03,Database Log,68.11,83597.72
/db2/data,2026-01-02,7,prdapp03,Database Data,38.96,640050.79
/usr/sap/trans,2026-01-02,7,prdapp02,Application Server,64.54,185912.52
/db2/data,2026-01-02,7,prdapp02,Database Data,66.62,350014.67
/db2/data,2026-01-02,8,prdapp01,Database Data,35.0,681574.4
/sapmnt,2026-01-02,8,prdapp01,Application Server,51.56,126982.55
/db2/log,2026-01-02,8,prdapp03,Database Log,33.92,173224.76
/usr/sap/trans,2026-01-02,8,prdapp03,Application Server,38.62,321807.97
/usr/sap/trans,2026-01-02,8,prdapp01,Application Server,56.57,227698.28
/db2/log,2026-01-02,8,prdapp02,Database Log,74.48,66899.15
/sapmnt,2026-01-02,8,prdapp01,Application Server,68.38,82889.93
/db2/log,2026-01-02,9,prdapp02,Database Log,46.7,139722.75
/usr/sap/trans,2026-01-02,9,prdapp03,Application Server,60.26,208352.05
/usr/sap/trans,2026-01-02,9,prdapp02,Application Server,57.71,221721.4
/db2/log,2026-01-02,9,prdapp01,Database Log,32.46,177052.06
/sapmnt,2026-01-02,9,prdapp01,Application Server,41.09,154429.03
/db2/log,2026-01-02,9,prdapp03,Database Log,55.96,115448.22
/sapmnt,2026-01-02,9,prdapp02,Application Server,72.2,72876.03
/db2/data,2026-01-02,10,prdapp01,Database Data,30.5,728760.32
/sapmnt,2026-01-02,10,prdapp02,Application Server,31.23,180276.43
/sapmnt,2026-01-02,10,prdapp03,Application Server,69.18,80792.78
/usr/sap/trans,2026-01-02,10,prdapp02,Application Server,63.09,193514.7
/usr/sap/trans,2026-01-02,10,prdapp02,Application Server,47.16,277033.78
/db2/log,2026-01-02,10,prdapp01,Database Log,68.18,83414.22
/db2/data,2026-01-02,10,prdapp02,Database Data,55.05,471334.91
/db2/log,2026-01-02,11,prdapp01,Database Log,43.63,147770.57
/usr/sap/trans,2026-01-02,11,prdapp03,Application Server,73.52,138831.46
/usr/sap/trans,2026-01-02,11,prdapp03,Application Server,61.44,202165.45
/usr/sap/trans,2026-01-02,11,prdapp02,Application Server,50.05,261881.86
/usr/sap/trans,2026-01-02,11,prdapp03,Application Server,44.42,291399.27
/db2/log,2026-01-02,11,prdapp03,Database Log,66.26,88447.39
/db2/data,2026-01-02,11,prdapp02,Database Data,32.34,709466.52
/db2/log,2026-01-02,12,prdapp03,Database Log,56.06,115186.07
/db2/data,2026-01-02,12,prdapp02,Database Data,62.58,392377.14
/db2/data,2026-01-02,12,prdapp01,Database Data,67.97,335858.89
/db2/data,2026-01-02,12,prdapp03,Database Data,31.35,719847.42
/db2/log,2026-01-02,12,prdapp03,Database Log,38.15,162136.06
/sapmnt,2026-01-02,12,prdapp01,Application Server,45.7,142344.19
/sapmnt,2026-01-02,12,prdapp03,Application Server,72.27,72692.53
/db2/data,2026-01-02,13,prdapp01,Database Data,33.29,699505.05
/db2/data,2026-01-02,13,prdapp03,Database Data,45.05,576192.51
/db2/data,2026-01-02,13,prdapp01,Database Data,32.83,704328.5
/db2/data,2026-01-02,13,prdapp02,Database Data,68.15,333971.46
/usr/sap/trans,2026-01-02,13,prdapp02,Application Server,53.52,243689.06
/db2/log,2026-01-02,13,prdapp03,Database Log,48.56,134846.87
/sapmnt,2026-01-02,13,prdapp02,Application Server,30.61,181901.72
/usr/sap/trans,2026-01-02,14,prdapp02,Application Server,72.78,142711.19
/usr/sap/trans,2026-01-02,14,prdapp02,Application Server,54.35,239337.47
/sapmnt,2026-01-02,14,prdapp03,Application Server,47.21,138385.82
/db2/log,2026-01-02,14,prdapp03,Database Log,49.84,131491.43
/usr/sap/trans,2026-01-02,14,prdapp01,Application Server,41.43,307075.48
/db2/data,2026-01-02,14,prdapp01,Database Data,35.06,680945.25
/sapmnt,2026-01-02,14,prdapp03,Application Server,72.81,71276.95
/db2/data,2026-01-02,15,prdapp03,Database Data,48.56,539387.49
/usr/sap/trans,2026-01-02,15,prdapp02,Application Server,34.06,345715.51
/db2/data,2026-01-02,15,prdapp01,Database Data,50.38,520303.41
/sapmnt,2026-01-02,15,prdapp02,Application Server,38.56,161061.27
/db2/log,2026-01-02,15,prdapp02,Database Log,57.78,110677.2
/db2/data,2026-01-02,15,prdapp02,Database Data,59.8,421527.55
/db2/data,2026-01-02,15,prdapp02,Database Data,30.83,725300.02
/usr/sap/trans,2026-01-02,16,prdapp03,Application Server,66.95,173277.18
/db2/log,2026-01-02,16,prdapp03,Database Log,57.12,112407.35
/db2/log,2026-01-02,16,prdapp02,Database Log,40.23,156683.47
/usr/sap/trans,2026-01-02,16,prdapp02,Application Server,70.89,152620.24
/db2/data,2026-01-02,16,prdapp03,Database Data,37.6,654311.42
/db2/data,2026-01-02,16,prdapp02,Database Data,68.02,335334.6
/sapmnt,2026-01-02,16,prdapp03,Application Server,66.78,87084.24
/db2/data,2026-01-02,17,prdapp03,Database Data,50.5,519045.12
/db2/data,2026-01-02,17,prdapp01,Database Data,30.77,725929.16
/db2/log,2026-01-02,17,prdapp01,Database Log,63.98,94424.27
/sapmnt,2026-01-02,17,prdapp01,Application Server,50.63,129420.49
/usr/sap/trans,2026-01-02,17,prdapp02,Application Server,72.65,143392.77
/db2/data,2026-01-02,17,prdapp03,Database Data,53.32,489475.28
/db2/log,2026-01-02,17,prdapp03,Database Log,48.92,133903.16
/db2/log,2026-01-02,18,prdapp01,Database Log,44.52,145437.49
/db2/log,2026-01-02,18,prdapp01,Database Log,52.42,124728.12
/db2/data,2026-01-02,18,prdapp01,Database Data,73.51,277767.78
/usr/sap/trans,2026-01-02,18,prdapp03,Application Server,57.79,221301.96
/sapmnt,2026-01-02,18,prdapp02,Application Server,38.52,161166.13
/db2/log,2026-01-02,18,prdapp03,Database Log,70.78,76598.48
/usr/sap/trans,2026-01-02,19,prdapp01,Application Server,54.6,238026.75
/db2/data,2026-01-02,19,prdapp02,Database Data,56.54,455711.13
/sapmnt,2026-01-02,19,prdapp02,Application Server,50.98,128502.99
/db2/log,2026-01-02,19,prdapp03,Database Log,66.07,88945.46
/db2/log,2026-01-02,19,prdapp03,Database Log,54.63,118934.73
/usr/sap/trans,2026-01-02,19,prdapp03,Application Server,39.75,315883.52
/db2/log,2026-01-02,19,prdapp02,Database Log,35.73,168479.95
/usr/sap/trans,2026-01-02,20,prdapp02,Application Server,36.12,334915.17
/db2/log,2026-01-02,20,prdapp03,Database Log,62.94,97150.57
/db2/log,2026-01-02,20,prdapp01,Database Log,56.29,114583.14
/sapmnt,2026-01-02,20,prdapp03,Application Server,45.2,143654.91
/sapmnt,2026-01-02,20,prdapp03,Application Server,38.57,161035.06
/db2/data,2026-01-02,20,prdapp01,Database Data,36.47,666160.33
/usr/sap/trans,2026-01-02,20,prdapp02,Application Server,40.88,309959.07
/sapmnt,2026-01-02,21,prdapp03,Application Server,34.05,172883.97
/sapmnt,2026-01-02,21,prdapp02,Application Server,37.06,164993.43
/db2/log,2026-01-02,21,prdapp02,Database Log,57.8,110624.77
/db2/data,2026-01-02,21,prdapp03,Database Data,42.75,600309.76
/usr/sap/trans,2026-01-02,21,prdapp01,Application Server,73.58,138516.89
/db2/data,2026-01-02,21,prdapp01,Database Data,61.59,402758.04
/sapmnt,2026-01-02,21,prdapp03,Application Server,37.25,164495.36
/db2/data,2026-01-02,22,prdapp02,Database Data,34.96,681993.83
/db2/data,2026-01-02,22,prdapp03,Database Data,32.14,711563.67
/sapmnt,2026-01-02,22,prdapp03,Application Server,57.21,112171.42
/usr/sap/trans,2026-01-02,22,prdapp01,Application Server,33.23,350067.1
/sapmnt,2026-01-02,22,prdapp02,Application Server,55.43,116837.58
/usr/sap/trans,2026-01-02,22,prdapp02,Application Server,46.55,280231.94
/db2/data,2026-01-02,22,prdapp02,Database Data,33.0,702545.92
/sapmnt,2026-01-02,23,prdapp01,Application Server,34.83,170839.24
/db2/log,2026-01-02,23,prdapp02,Database Log,67.61,84908.44
/usr/sap/trans,2026-01-02,23,prdapp02,Application Server,61.34,202689.74
/sapmnt,2026-01-02,23,prdapp03,Application Server,35.34,169502.31
/db2/log,2026-01-02,23,prdapp01,Database Log,52.63,124177.61
/db2/data,2026-01-02,23,prdapp03,Database Data,63.14,386505.11
/db2/data,2026-01-02,23,prdapp02,Database Data,54.88,473117.49
/db2/log,2026-01-03,0,prdapp03,Database Log,41.62,153039.67
/db2/log,2026-01-03,0,prdapp03,Database Log,45.55,142737.41
/sapmnt,2026-01-03,0,prdapp01,Application Server,52.37,124859.19
/sapmnt,2026-01-03,0,prdapp02,Application Server,56.21,114792.86
/sapmnt,2026-01-03,0,prdapp03,Application Server,55.05,117833.73
/db2/data,2026-01-03,0,prdapp03,Database Data,70.24,312056.22
/usr/sap/trans,2026-01-03,0,prdapp03,Application Server,63.11,193409.84
/sapmnt,2026-01-03,1,prdapp02,Application Server,36.59,166225.51
/db2/log,2026-01-03,1,prdapp02,Database Log,41.24,154035.81
/db2/log,2026-01-03,1,prdapp01,Database Log,57.81,110598.55
/usr/sap/trans,2026-01-03,1,prdapp02,Application Server,65.38,181508.51
/usr/sap/trans,2026-01-03,1,prdapp01,Application Server,57.64,222088.4
/db2/data,2026-01-03,1,prdapp01,Database Data,51.39,509712.79
/db2/log,2026-01-03,1,prdapp01,Database Log,73.28,70044.88
/sapmnt,2026-01-03,2,prdapp01,Application Server,37.54,163735.14
/sapmnt,2026-01-03,2,prdapp02,Application Server,47.38,137940.17
/db2/log,2026-01-03,2,prdapp01,Database Log,67.16,86088.09
/sapmnt,2026-01-03,2,prdapp01,Application Server,66.52,87765.81
/db2/log,2026-01-03,2,prdapp02,Database Log,59.95,104988.67
/db2/data,2026-01-03,2,prdapp03,Database Data,46.46,561407.59
/usr/sap/trans,2026-01-03,2,prdapp03,Application Server,59.41,212808.5
/db2/log,2026-01-03,3,prdapp01,Database Log,74.13,67816.65
/usr/sap/trans,2026-01-03,3,prdapp02,Application Server,46.35,281280.51
/db2/log,2026-01-03,3,prdapp02,Database Log,30.24,182871.65
/db2/log,2026-01-03,3,prdapp01,Database Log,54.43,119459.02
/sapmnt,2026-01-03,3,prdapp01,Application Server,69.24,80635.49
/sapmnt,2026-01-03,3,prdapp02,Application Server,36.4,166723.58
/db2/log,2026-01-03,3,prdapp03,Database Log,41.59,153118.31
/db2/log,2026-01-03,4,prdapp01,Database Log,53.21,122657.18
/db2/log,2026-01-03,4,prdapp03,Database Log,55.84,115762.79
/usr/sap/trans,2026-01-03,4,prdapp01,Application Server,31.96,356725.56
/usr/sap/trans,2026-01-03,4,prdapp01,Application Server,48.46,270218.04
/usr/sap/trans,2026-01-03,4,prdapp02,Application Server,67.92,168191.59
/db2/log,2026-01-03,4,prdapp01,Database Log,42.01,152017.31
/usr/sap/trans,2026-01-03,4,prdapp01,Application Server,66.27,176842.34
/db2/data,2026-01-03,5,prdapp02,Database Data,69.98,314782.52
/db2/log,2026-01-03,5,prdapp03,Database Log,56.01,115317.15
/sapmnt,2026-01-03,5,prdapp03,Application Server,54.05,120455.17
/db2/log,2026-01-03,5,prdapp01,Database Log,64.76,92379.55
/sapmnt,2026-01-03,5,prdapp01,Application Server,40.89,154953.32
/db2/data,2026-01-03,5,prdapp03,Database Data,31.16,721839.72
/sapmnt,2026-01-03,6,prdapp01,Application Server,57.72,110834.48
/db2/data,2026-01-03,6,prdapp02,Database Data,54.5,477102.08
/db2/log,2026-01-03,6,prdapp01,Database Log,64.74,92431.97
/sapmnt,2026-01-03,6,prdapp03,Application Server,41.25,154009.6
/sapmnt,2026-01-03,6,prdapp01,Application Server,47.35,138018.82
/db2/log,2026-01-03,6,prdapp03,Database Log,31.26,180197.79
/db2/log,2026-01-03,6,prdapp02,Database Log,48.63,134663.37
/db2/log,2026-01-03,7,prdapp03,Database Log,49.19,133195.37
/db2/data,2026-01-03,7,prdapp03,Database Data,40.67,622120.14
/usr/sap/trans,2026-01-03,7,prdapp03,Application Server,48.83,268278.17
/sapmnt,2026-01-03,7,prdapp02,Application Server,45.06,144021.91
