Date,Hour,5minLoadAverage[QL],User Utilization[%],System Utilization[%],Idle[%],Idle True[%],Number of CPUs
2026-01-03,2,4.11,6.84,21.89,71.27,71.13,16
2026-01-03,2,4.72,11.03,16.47,72.5,71.53,16
2026-01-03,2,3.67,19.62,6.94,73.44,73.39,16
2026-01-03,2,2.32,11.09,2.59,86.32,86.11,16
2026-01-03,2,1.46,7.85,3.25,88.9,87.63,16
2026-01-03,2,1.89,6.95,3.83,89.22,88.6,16
2026-01-03,2,1.35,18.67,-9.93,91.26,89.5,16
2026-01-03,3,1.64,3.62,5.44,90.94,90.82,16
2026-01-03,3,1.89,15.73,-5.43,89.7,88.24,16
2026-01-03,3,3.79,8.07,14.69,77.24,75.75,16
2026-01-03,3,1.15,10.72,-3.93,93.21,91.97,16
2026-01-03,3,2.71,5.28,11.61,83.11,82.93,16
2026-01-03,3,4.05,8.62,14.56,76.82,76.53,16
2026-01-03,3,2.06,3.24,10.55,86.21,85.72,16
2026-01-03,4,3.78,6.28,16.34,77.38,76.88,16
2026-01-03,4,2.09,10.27,3.76,85.97,84.95,16
2026-01-03,4,3.17,19.69,0.29,80.02,78.57,16
2026-01-03,4,1.03,9.52,-2.92,93.4,91.54,16
2026-01-03,4,3.84,12.9,10.43,76.67,75.64,16
2026-01-03,4,4.01,7.02,16.44,76.54,75.56,16
2026-01-03,4,3.44,14.66,3.71,81.63,80.26,16
2026-01-03,5,1.32,14.73,-6.93,92.2,91.78,16
2026-01-03,5,1.23,6.75,-0.27,93.52,92.34,16
2026-01-03,5,2.74,19.81,-1.76,81.95,81.06,16
2026-01-03,5,2.23,15.87,-3.42,87.55,87.4,16
2026-01-03,5,1.55,14.57,-5.21,90.64,90.21,16
2026-01-03,5,1.56,11.98,-1.66,89.68,88.83,16
2026-01-03,6,1.31,17.09,-10.02,92.93,91.28,16
2026-01-03,6,4.56,5.8,19.15,75.05,74.35,16
2026-01-03,6,3.02,15.19,3.76,81.05,80.53,16
2026-01-03,6,1.03,3.95,3.58,92.47,91.44,16
2026-01-03,6,3.35,12.5,7.11,80.39,79.69,16
2026-01-03,6,2.86,7.33,14.97,77.7,76.18,16
2026-01-03,6,4.24,10.2,14.35,75.45,74.05,16
2026-01-03,7,3.15,18.2,-1.73,83.53,81.96,16
2026-01-03,7,2.49,6.06,12.14,81.8,80.63,16
2026-01-03,7,2.12,19.38,-5.42,86.04,85.57,16
2026-01-03,7,1.17,18.59,-10.87,92.28,91.26,16
2026-01-03,7,3.82,17.87,10.12,72.01,71.96,16
2026-01-03,7,1.3,19.88,-11.39,91.51,89.9,16
2026-01-03,7,4.73,17.19,9.63,73.18,73.15,16
2026-01-03,8,0.86,15.22,-9.68,94.46,93.45,16
2026-01-03,8,2.83,10.83,9.69,79.48,78.26,16
2026-01-03,8,3.29,16.01,9.28,74.71,74.52,16
2026-01-03,8,2.5,18.92,-5.42,86.5,85.83,16
2026-01-03,8,3.75,13.1,10.88,76.02,74.6,16
2026-01-03,8,1.73,7.16,6.04,86.8,86.58,16
2026-01-03,8,3.38,15.82,3.21,80.97,80.22,16
2026-01-03,9,4.95,6.98,19.52,73.5,73.49,16
2026-01-03,9,2.81,16.13,-0.53,84.4,83.69,16
2026-01-03,9,3.89,19.76,4.32,75.92,75.73,16
2026-01-03,9,3.26,12.46,7.2,80.34,79.18,16
2026-01-03,9,1.9,14.54,-2.92,88.38,86.92,16
2026-01-03,9,4.39,13.94,14.89,71.17,70.24,16
2026-01-03,9,2.49,9.94,6.95,83.11,82.61,16
2026-01-03,10,3.62,7.1,18.3,74.6,73.91,16
2026-01-03,10,1.13,10.87,-2.31,91.44,89.88,16
2026-01-03,10,3.01,12.01,7.67,80.32,79.38,16
2026-01-03,10,3.7,4.34,19.29,76.37,75.35,16
2026-01-03,10,2.72,17.1,3.62,79.28,78.54,16
2026-01-03,10,2.73,3.67,16.9,79.43,78.8,16
2026-01-03,10,1.4,14.41,-4.53,90.12,89.38,16
2026-01-03,11,4.61,8.15,16.63,75.22,75.08,16
2026-01-03,11,4.34,15.61,9.09,75.3,74.08,16
2026-01-03,11,1.93,14.83,-3.69,88.86,88.71,16
2026-01-03,11,2.93,8.47,11.61,79.92,78.7,16
2026-01-03,11,2.77,8.24,10.1,81.66,81.09,16
2026-01-03,11,1.38,16.65,-8.72,92.07,91.09,16
2026-01-03,11,1.62,6.45,4.51,89.04,87.83,16
2026-01-03,12,3.72,15.6,13.26,71.14,70.95,16
2026-01-03,12,2.38,15.24,0.93,83.83,83.13,16
2026-01-03,12,3.61,12.69,12.41,74.9,73.75,16
2026-01-03,12,2.87,8.74,7.49,83.77,83.68,16
2026-01-03,12,2.8,15.57,2.21,82.22,81.77,16
2026-01-03,12,1.9,5.38,6.3,88.32,87.18,16
2026-01-03,12,4.81,19.84,5.56,74.6,74.43,16
2026-01-03,13,3.05,4.26,12.64,83.1,82.83,16
2026-01-03,13,4.85,5.34,23.45,71.21,69.79,16
2026-01-03,13,4.45,6.72,21.58,71.7,70.48,16
2026-01-03,13,5.31,18.88,9.61,71.51,70.99,16
2026-01-03,13,2.09,12.05,1.47,86.48,84.78,16
2026-01-03,13,4.33,12.11,17.47,70.42,70.03,16
2026-01-03,13,3.28,10.32,7.12,82.56,82.06,16
2026-01-03,14,3.66,11.91,13.61,74.48,74.36,16
2026-01-03,14,2.6,9.03,5.48,85.49,84.21,16
2026-01-03,14,4.02,10.8,17.22,71.98,71.92,16
2026-01-03,14,1.67,17.08,-4.51,87.43,86.21,16
2026-01-03,14,0.8,3.54,1.67,94.79,94.13,16
2026-01-03,14,3.56,13.82,6.75,79.43,78.6,16
2026-01-03,14,4.17,13.96,13.97,72.07,71.85,16
2026-01-03,15,1.04,18.21,-12.64,94.43,94.38,16
2026-01-03,15,3.99,14.77,9.49,75.74,75.59,16
2026-01-03,15,3.39,14.64,8.58,76.78,76.66,16
2026-01-03,15,3.0,6.05,10.37,83.58,83.01,16
2026-01-03,15,5.35,5.45,24.16,70.39,69.27,16
2026-01-03,15,1.56,8.09,1.39,90.52,90.39,16
2026-01-03,16,2.57,14.51,1.32,84.17,83.92,16
2026-01-03,16,3.51,16.44,3.96,79.6,79.19,16
